,Simbol,% 1h,% 2h,% 7d
532,TIT,-0.56%,1.87%,-4.36%
533,ATOM,-3.34%,-20.89%,-25.95%
534,EOT,-2.85%,-46.13%,-89.69%
535,RUPX,-6.89%,-25.25%,51.71%
536,CAP,-0.28%,4.92%,33.59%
537,LTB,0.05%,-1.89%,-4.30%
538,808,-0.35%,-46.51%,-77.38%
539,SAC,-0.29%,1.06%,16.94%
540,PRC,5.60%,87.30%,106.55%
541,XPTX,-0.42%,12.80%,-5.13%
542,BTCRED,3.38%,25.83%,-5.16%
543,UNI,-36.05%,-30.50%,-32.40%
544,ITZ,-1.65%,-14.95%,-61.24%
545,EBTC,1.73%,-3.94%,-93.19%
546,FRN,-0.40%,-3.53%,-4.36%
547,BERN,22.54%,29.14%,47.55%
548,SUPER,-0.40%,-45.48%,-69.20%
549,IETH,39.92%,80.81%,-39.04%
550,XRA,-0.27%,-6.43%,-7.12%
551,KLC,-0.40%,30.52%,50.34%
552,KUSH,-0.28%,-5.79%,15.50%
553,BITSILVER,0.49%,0.78%,-6.07%
554,GTC,-0.28%,127.32%,191.41%
555,XCXT,5.29%,-40.96%,-49.61%
556,TEK,-0.01%,25.24%,-20.89%
557,XCS,22.29%,13.74%,-43.12%
558,WBB,0.36%,-19.56%,-69.08%
559,MOJO,-0.60%,-20.76%,-36.45%
560,BITGOLD,0.77%,-2.04%,-8.61%
561,ECASH,-23.77%,-29.45%,-54.07%
562,EXN,0.99%,5.66%,-2.44%
563,PASL,17.35%,22.33%,45.62%
564,DRXNE,-0.34%,-3.72%,-4.50%
565,DRM,-0.40%,10.53%,41.36%
566,ADCN,-0.41%,47.95%,45.99%
567,ECO,-0.28%,19.37%,13.38%
568,CORG,-0.38%,-0.14%,29.13%
569,CTO,-0.40%,56.19%,112.45%
570,MCRN,-0.28%,-67.58%,5.19%
571,BITEUR,6.78%,9.01%,8.49%
572,TSTR,-0.28%,12.93%,15.76%
573,EMP,-0.28%,106.64%,-63.00%
574,BOST,-0.40%,7.51%,13.54%
575,611,-0.55%,9.15%,14.93%
576,ERY,-0.21%,48.14%,45.02%
577,DIBC,8.12%,-14.70%,-12.59%
578,RED,0.95%,-8.93%,-37.37%
579,$$$,-0.41%,-15.96%,-9.36%
580,TAJ,-0.28%,-5.15%,-6.22%
581,VUC,8.58%,-23.83%,-53.34%
582,NRO,-0.28%,4.57%,70.78%
583,GPL,-0.28%,25.94%,113.03%
584,CREVA,-0.58%,49.50%,126.81%
585,CWXT,-0.93%,-21.30%,-45.52%
586,ALL,-0.28%,7.60%,-7.38%
587,BOAT,-18.54%,75.55%,52.41%
588,CMPCO,-0.28%,46.70%,17.97%
589,MSCN,3.22%,10.29%,-16.37%
590,PLACO,6.37%,-17.39%,?
591,CMT,-3.74%,-12.32%,-2.95%
592,COAL,-0.40%,-7.29%,19.57%
593,CTIC2,-0.30%,-32.31%,-59.04%
594,CASH,-0.40%,-39.14%,-21.54%
595,MGM,-0.28%,62.43%,107.86%
596,ACP,-0.28%,-22.99%,15.07%
597,DES,-0.40%,?,?
598,VRS,0.01%,-5.28%,10.22%
599,WEX,-0.40%,-21.85%,-2.72%
600,LTCU,-1.33%,-3.69%,-43.47%
601,FAL,-7.09%,-20.75%,-90.41%
602,NANOX,-0.28%,-26.69%,-18.84%
603,SANDG,-0.42%,?,?
604,HMC,-0.94%,-9.23%,-7.70%
605,LVPS,-0.28%,18.89%,-41.19%
606,1337,-7.19%,12.94%,-1.19%
607,EBT,-0.28%,29.30%,-43.38%
608,DMB,-0.28%,-18.19%,-63.29%
